8d4  25.955 101343.928  -1.574 231.872  51.754  25.855  25.562 
7ef  24.851 101414.504  -7.451 330.413  55.309  24.879  24.562 
7cd  24.671 101406.528  -6.785 458.450  53.936  24.836  24.562 
8d4  25.961 101342.544  -1.458 230.072  51.785  25.855  25.562 
7ef  24.875 101421.504  -8.032 327.407  55.286  24.890  24.562 
7cd  24.665 101392.032  -5.580 459.625  53.844  24.836  24.562 
8d4  25.973 101336.640   0.967 233.581  51.815  25.855  25.562 
7ef  24.863 101408.880  -6.980 327.041  55.309  24.900  24.593 
7cd  24.684 101403.688  -6.547 455.215  53.814  24.836  24.562 
8d4  25.942 101331.040   0.502 231.338  51.815  25.855  25.562 
7ef  24.857 101416.248  -7.593 328.460  55.309  24.900  24.593 
7cd  24.671 101393.808  -5.728 453.002  53.761  24.858  24.562 
8d4  25.961 101339.416  -1.199 223.342  51.815  25.855  25.562 
7ef  24.863 101418.016  -7.741 328.186  55.286  24.911  24.593 
7cd  24.709 101407.560  -6.869 456.161  53.761  24.836  24.562 
8d4  25.961 101339.416  -1.199 222.503  51.815  25.866  25.562 
7ef  24.875 101418.464  -7.778 325.546  55.195  24.922  24.593 
7cd  24.696 101397.688  -6.050 457.931  53.730  24.858  24.562 
8d4  25.961 101330.016   0.417 224.716  51.815  25.866  25.562 
7ef  24.882 101423.240  -8.175 325.546  55.103  24.922  24.593 
7cd  24.702 101402.624  -6.463 458.129  53.700  24.836  24.562 
8d4  25.967 101328.624   0.301 225.326  51.838  25.887  25.562 
7ef  24.888 101425.008  -8.323 327.850  54.989  24.933  24.593 
7cd  24.715 101402.968  -6.489 459.899  53.730  24.836  24.562 
8d4  25.973 101342.912  -1.490 227.554  51.838  25.866  25.562 
7ef  24.875 101415.416  -7.525 327.529  54.905  24.943  24.625 
7cd  24.709 101394.832  -5.813 460.647  53.700  24.825  24.562 
8d4  25.967 101325.504   0.042 231.430  51.838  25.866  25.562 
7ef  24.875 101421.504  -8.032 331.970  54.783  24.943  24.625 ,63562208322712
7cd  24.715 101406.152  -6.753 461.227  53.669  24.825  24.562 
8d4  25.967 101334.904   0.824 229.324  51.838  25.866  25.593 
7ef  24.888 101428.056  -8.576 329.803  54.729  24.943  24.625 
7cd  24.727 101400.128  -6.251 463.333  53.669  24.825  24.562 
8d4  25.979 101338.400  -1.115 231.170  51.838  25.866  25.593 
7ef  24.869 101419.760  -7.884 331.253  54.668  24.954  24.625 
7cd  24.727 101409.680  -7.049 462.234  53.700  24.825  24.562 
8d4  25.979 101332.128   0.591 231.445  51.838  25.866  25.593 ,63562208325993
7ef  24.894 101411.536  -7.202 332.748  54.638  24.965  24.625 
7cd  24.752 101410.368  -7.102 461.914  53.700  24.825  24.562 
8d4  25.998 101334.248   0.771 234.176  51.838  25.866  25.593 
7ef  24.906 101424.160  -8.254 331.893  54.638  24.965  24.625 ,63562208327293
7cd  24.727 101406.496  -6.785 463.272  53.638  24.825  24.562 
8d4  25.998 101337.376  -1.030 234.954  51.838  25.866  25.593 
7ef  24.894 101426.752  -8.465 336.349  54.668  24.975  24.656 
7cd  24.746 101418.160  -7.752 462.875  53.608  24.825  24.562 
8d4  26.004 101332.864   0.655 236.129  51.838  25.887  25.593 
7ef  24.900 101419.368  -7.852 338.012  54.699  24.975  24.656 ,63562208329573
7cd  24.746 101402.240  -6.431 462.768  53.585  24.815  24.562 
8d4  25.998 101343.648  -1.553 236.068  51.815  25.887  25.593 ,63562208330573
7ef  24.894 101417.624  -7.710 336.547  54.729  24.986  24.656 
7cd  24.746 101405.432  -6.695 462.020  53.585  24.804  24.562 
8d4  26.010 101337.752  -1.062 231.460  51.815  25.866  25.593 ,63562208331713
7ef  24.906 101427.192  -8.502 336.227  54.783  24.986  24.656 
7cd  24.765 101407.528  -6.869 461.868  53.585  24.815  24.562 ,63562208332353
8d4  26.022 101341.248  -1.352 231.552  51.785  25.887  25.593 
7ef  24.906 101424.160  -8.254 336.975  54.783  24.997  24.656 
7cd  24.759 101399.400  -6.193 461.624  53.585  24.815  24.593 
8d4  26.016 101348.896  -1.992 227.966  51.785  25.887  25.593 
7ef  24.925 101429.408  -8.687 337.921  54.783  24.997  24.656 
7cd  24.771 101396.552  -5.955 461.380  53.608  24.815  24.593 ,63562208334653
8d4  25.979 101325.856   0.073 229.660  51.754  25.887  25.593 ,63562208335153
